x,y
-7.0,NaN
-6.9,NaN
-6.800000000000001,NaN
-6.700000000000001,NaN
-6.600000000000001,NaN
-6.500000000000002,NaN
-6.400000000000002,NaN
-6.3000000000000025,NaN
-6.200000000000003,NaN
-6.100000000000003,NaN
-6.0000000000000036,NaN
-5.900000000000004,NaN
-5.800000000000004,NaN
-5.700000000000005,NaN
-5.600000000000005,NaN
-5.500000000000005,NaN
-5.400000000000006,NaN
-5.300000000000006,NaN
-5.200000000000006,NaN
-5.100000000000007,NaN
-5.000000000000007,NaN
-4.9000000000000075,NaN
-4.800000000000008,NaN
-4.700000000000008,NaN
-4.6000000000000085,NaN
-4.500000000000009,NaN
-4.400000000000009,NaN
-4.30000000000001,NaN
-4.20000000000001,NaN
-4.10000000000001,NaN
-4.000000000000011,NaN
-3.9000000000000106,NaN
-3.8000000000000105,NaN
-3.7000000000000104,NaN
-3.6000000000000103,NaN
-3.50000000000001,NaN
-3.40000000000001,NaN
-3.30000000000001,NaN
-3.20000000000001,NaN
-3.10000000000001,NaN
-3.0000000000000098,NaN
-2.9000000000000097,NaN
-2.8000000000000096,NaN
-2.7000000000000095,NaN
-2.6000000000000094,NaN
-2.5000000000000093,NaN
-2.4000000000000092,NaN
-2.300000000000009,NaN
-2.200000000000009,NaN
-2.100000000000009,NaN
-2.000000000000009,NaN
-1.9000000000000088,NaN
-1.8000000000000087,NaN
-1.7000000000000086,NaN
-1.6000000000000085,NaN
-1.5000000000000084,NaN
-1.4000000000000083,NaN
-1.3000000000000083,NaN
-1.2000000000000082,NaN
-1.100000000000008,NaN
-1.000000000000008,NaN
-0.900000000000008,NaN
-0.800000000000008,NaN
-0.7000000000000081,NaN
-0.6000000000000081,NaN
-0.5000000000000081,NaN
-0.4000000000000081,NaN
-0.30000000000000815,NaN
-0.20000000000000814,NaN
-0.10000000000000814,NaN
-8.132383655379272E-15,NaN
0.09999999999999187,-2.1481617624231406
0.19999999999999188,-1.5308641975308968
0.2999999999999919,-1.181004399939336
0.3999999999999919,-0.9096209912536638
0.4999999999999919,-0.691358024691374
0.5999999999999919,-0.5104166666666801
0.6999999999999919,-0.3566049257073188
0.7999999999999918,-0.22313671696388768
0.8999999999999918,-0.10526315789474591
0.9999999999999918,-8.215650382226192E-15
1.0999999999999919,0.09523809523808788
1.199999999999992,0.18181818181817516
1.299999999999992,0.2623489767403572
1.3999999999999921,0.3364197530864141
1.4999999999999922,0.4053333333333282
1.5999999999999923,0.46973145197996785
1.6999999999999924,0.5301359887550973
1.7999999999999925,0.5869776482021337
1.8999999999999926,0.64061667145024
1.9999999999999927,0.6913580246913544
2.0999999999999925,0.7394627012632415
2.1999999999999926,0.7851562499999967
2.2999999999999927,0.828635296954853
2.399999999999993,0.8700725965126506
2.499999999999993,0.9096209912536416
2.599999999999993,0.9474165523548214
2.699999999999993,0.9835810975328847
2.799999999999993,1.018224230937452
2.8999999999999932,1.051445011997278
2.9999999999999933,1.0833333333333313
3.0999999999999934,1.1139710683246016
3.1999999999999935,1.1434330345894952
3.2999999999999936,1.171787809039873
3.3999999999999937,1.1990984222389165
3.499999999999994,1.225422953818014
3.599999999999994,1.2508150461631173
3.699999999999994,1.275324350095835
3.799999999999994,1.2989969135802455
3.899999999999994,1.3218755223872127
3.9999999999999942,1.3439999999999988
4.099999999999994,1.365407472741755
4.199999999999994,1.3861326050675151
4.299999999999994,1.4062078091310264
4.399999999999993,1.425663432064894
4.499999999999993,1.4445279238667657
4.5999999999999925,1.462827988338191
4.699999999999992,1.48058871915605
4.799999999999992,1.4978337228531975
4.8999999999999915,1.514585230232885
4.999999999999991,1.5308641975308628
5.099999999999991,1.6015597843985017
5.19999999999999,1.619144640370228
5.29999999999999,1.636309703279435
5.39999999999999,1.6530701955159486
5.499999999999989,1.669440576579681
5.599999999999989,1.6854345936937423
5.699999999999989,1.7010653281135752
5.799999999999988,1.716345237583783
5.899999999999988,1.7312861953382734
5.999999999999988,1.7458995259911527
6.099999999999987,1.760196038624358
6.199999999999987,1.7741860573422057
6.2999999999999865,1.7878794495320305
6.399999999999986,1.8012856520431895
6.499999999999986,1.8144136954732493
6.599999999999985,1.8272722267297588
6.699999999999985,1.8398695300180872
6.799999999999985,1.852213546390141
6.899999999999984,1.8643118919749537
6.999999999999984,1.8761718749999978
